[3.025.040]
TEMPRESA            Tabela de Empresas
WFCIPROD            Lista de Códigos FCI do Produto
WORIMERC            Lista de Origens das Mercadorias
WORES057            Fórmula de Custos Orçamento Especial Simplificado
WCTBCADREG          Regras Balancetes / Balanços - Multiempresa
WPARCADITE          Lista de Itens não Importados Integração CAD
WCLIPROD            Lista de Cliente X Produto
WPLANI21            Alteração de Processo do Planilhamento
WCFOPSUF            Lista de CFOPs para Cálculo Suframa
WEXPREA1            Exportação Preactor - Arquivo Ordens
WEXPREA2            Marca Ordens de Produção
WMANSORD            Marca Números de Série das Ordens
WEDI095             Alterar Tipo de Fornecimento
WEMPRE2             Clientes / Fornecedores
WNOTSAI2            Lista de NFs de Saída
WBLOQPED            Pedidos Bloqueados
WMDFE               Lista do Manifesto Eletrônico de Documentos Fiscais - MDF-e
WMDFNF              Selecionar NFs do MDF-e
WZMDF               Zoom do MDF-e
WZMDFEMOT           Zoom da tela de Motoristas do MDF-e
WZMDFEROTA          Zoom da Rota do MDF-e
WZOBSMDF            Zoom das Observações do MDF-e
WZVEICULOMDF        Zoom do Veículo do MDF-e
WDTVENC             Atualizar Data Vencimento dos Títulos
WPRJ207             Código de Barras para Perdas de Expedição
WMARCCIDADE         Lista de Marcação de Cidades
WZCMONTADOR         Zoom do Controle de Montadores
WESEXPREQ           Menu Expedição e Req / Dev
WREQCODBAR          Requisição / Devolução por Código de Barras
WREQCODES           Requisição / Devolução por Código de Barra
WREQDEVCB           Requisições e Devoluções
WREQDEVES           Requisições e Devoluções
WREQDEVLES          Lista de Requisições e Devoluções
WMDFEVENTO          Lista de Eventos do MDF-e
WNOTAS4             Lista de Notas de Saída
WRESC006            Lista de Restrição de Campos
WORES072            Orçamento Especial Simplificado - Margem Inversa
WCUSREM             Lista de CFOP´s para Definição do Custo de Remessa
WCAMON06            Relatórios do Controle de Atendimento / Montagem
WCAMON07            Filtros Relatório Atestado Conclusão Montagens
WEDI096             Ativar Previsões de Entrega
WDAPI01             DAPI/MG - Declaração de Apuração e Informação do ICMS
WDAPI02             Movimentações para DAPI/MG
WDAPI03             Movimentações de Entrada da DAPI/MG
WDAPI04             Movimentações de Saída da DAPI/MG
WDAPI05             Substituição Tributária DAPI/MG
WDAPI06             Entradas no Estado DAPI/MG
WDAPI07             Entradas fora do Estado DAPI/MG
WDAPI08             Importações DAPI/MG
WDAPI09             Saídas no Estado DAPI/MG
WDAPI10             Saídas fora do Estado DAPI/MG
WDAPI11             Exportações DAPI/MG
WDAPICFOP           Lista de CFOPs para Geração da DAPI/MG
WDAPIDADCON         Lista dos Contribuintes para Geração da DAPI/MG
WDAPI12             Lista dos Valores Apurados para DAPI/MG
WRESERV4            Importar Reservas de Arquivo XLS
WREGNO02            Zoom de Registro de Notificação
WREGNO06            Zoom de Usuários Notificados do Registro de Notificação
WREGNO08            Lista de Registros de Notificação
WREGNOTIFI          Exclusão do Registro de Notificações do Sistema
WREGNO16            Altera Data de Recebimento de Notificações
WENVEMFIL           Filtros Para Envio de E-mail
WVISIT8             Digitação dos Comentários
WES09001            Calcula Preço de Compra do Produto
WREQRATEIO          Requisições por Rateio
WGSP01              GIA ICMS/SP - Guia de Informação e Apuração do ICMS
WGSP10              Lista dos Valores Apurados para GIA ICMS/SP
WGSP16SUBST         26 - IE Substituto para Geração da GIA ICMS/SP
WGSP17SUBST         27 - IE Substituído para Geração da GIA ICMS/SP
WGSPCFOP            Lista de CFOPs para Geração da GIA ICMS/SP
WGSPDADCON          Lista dos Contribuintes para Geração da GIA ICMS/SP
WGSPZFMALC          18 - Registro da Zona Franca de Manaus ou Área Livre Comércio
WGSP11              Incluir Valor GIA ICMS/SP
WPRJ211             Descrição da Embalagem
WGSPEXPORTA         31 - Registro de Exportação para Geração da GIA ICMS/SP
WCTEREF             Zoom das NFs Relacionadas a CT/CT-e
WFEXPERIE           Lista de Experiências / Habilidades
WFREGTRE            Lista de Registro de Treinamentos / Capacitações
WFTREINA            Lista de Cadastro de Treinamentos
WZFEXPERIE          Zoom Experiências / Habilidades
WZFREGTRE           Zoom Registro de Treinamentos / Capacitações
WZFTREINA           Zoom Cadastro de Treinamentos
WINFVALPR           Informe os Valores nas Tabelas de Preços
WALSTADOC           Alterar Status do Documento
WMOTDOCUM           Informe Motivo da Alteração/Atualização
WQLCONT2            Lista de Controle de Documentos
WQLCONTR1           Relatório de Controle de Documentos
WQLDOCUMEN          Lista de Documentos
WQLGRUPO            Lista de Grupo / Subgrupo de Documentos
WQLMOT2             Criar/Alterar Versão
WQLMOTIVO           Lista de Motivos Alterações / Atualizações
WZQLCONTROL         Zoom Controle de Documentos
WZQLDOCUMEN         Zoom de Documento
WRESERV7            Substituição de Reserva
WZQLGRUPO           Zoom Grupo / Subgrupo de Documentos
WZQLMOTIVO          Zoom Motivos Alterações / Atualizações
WES03012            Menu Lançamentos Financeiros
WSUIMP01            Relatório de Impostos
WPRJ071             Filtros Para Checagem
WES05058            Relatórios para Acompanhamento da Produção
WQLACAOCON          Lista de Ações Corretivas / Preventivas
WQLALTSE            Alterar Situação / Eficácia
WQLCACONF           Lista da Causa de Não Conformidade
WQLFRRNC            Filtros do Relatório de Reg Não Conformidade
WQLNAOCONF          Lista de Não Conformidade Padrão
WQLREGNAO           Lista de Registros de Não Conformidades
WZQLACAOCON         Zoom da Ação Corretiva / Preventiva
WZQLCACONF          Zoom da Causa de Não Conformidade
WZQLNAOCONF         Zoom da Não Conformidade Padrão
WZQLREGNAO          Zoom de Registro de Não Conformidade
WPRJ216             Marca Itens dos Pedidos
WLOTEC21            Consulta Lotes de Carga Fechados
WLOTEC17            Consulta Diária de Lotes de Carga
WLOTEC18            Grava Temporário de Lotes de Carga
WBACAMARZO          Corrige Cadastro de Cidades
WBATLISFIL          Filtro de informações para o Batismo
WES03013            Impressão de Romaneio
WCONFCIAP           Conferência do CIAP
WPRODNVE            NVE - Nomenclatura de Valor Aduaneiro e Estatística do Produto
WBACAMA2            Corrige End. de Cob. e de Entrega
WES02022            Impressão Pedido I em Texto
WES09002            Envio de E-mails Validação de Fornecedores
WES03014            Controle Previsto x Realizado
WFCI001             Informações dos Produtos com Conteúdo de Importação
WFCI002             Incluir Produtos
WZPATRIMONIO        Informações do Patrimônio
WES05059            Notificação do Controle de Instrumentos
WPINEMAIL           Parâmetros do E-mail
WLOTEC25            Grava Temporário de Lotes de Carga
WECF001             Geração SPED Contábil Fiscal
WFCMATEX            Exportação Lista de Fornecedor X Material
WFCMATHI            Histórico de Atualização de Preços de Compra Fornecedor X Material
WFCMATIM            Importação Lista Fornecedor X Material
WFCMATR1            Filtros Relatório Histórico de Atualização Fornecedor X Material
WFCMATRE            Relatórios Fornecedor X Material
WFCMATU             Atualização de Preço Fornecedor X Material
WVEN2ZOOM           Zoom Percentuais Cfe Comissão Representante
WADENTRAZ           Adiciona Centro de Custo e Conta para Razão
WNFCOP02            Cópia de Nota Fiscal
WPAGLI10            Liberação de Títulos a Pagar
WPAGLIB3            Liberação de Títulos a Pagar
WRELEPI             Relatório de Controle de E.P.I
WPRJ218             Marca Itens das Assistências
WIMPC02             Importação de Produtos de Pedido de Compra
WECF_009            Lista de CFOPs para Apuração da Base IRPJ Presumido
WECF_010            Lista de CFOPs para Apuração da Base CSLL Presumido
WVERPRIO            Processos para a mesma OF que estão sendo realizados no mesmo dia
WLISCATEMP          Lista de Templates/Batismo por Grupo / Subgrupo Integração CAD
WES02023            Tela F2 Especial - Informações de Produtos / Clientes / NF Emitida
WZLOGUDEPO          Zoom Configuração de Depósitos Multiempresa por Usuário
WES0202A3           Tela F2 Especial - Produtos
WES02024            Relatório de Produtos com Prioridade nos Pedidos de Venda
WORDEM12            Seleciona Período Pesquisa Ordens
WECF_014            Lista de CFOPs para Apuração da Base do Lucro Real
WESTER07            Seleciona Item Devolvido
WESTER22            Movimentações CFOPs
WEDI102             Limpeza de Previsões Inativas
WPARAMPE6           Parâmetros para Carta de Aviso
WES01003            Exportar Produtos NF Entrada para TXT
WECF_025            Lista de Lançamentos
WECF_026            Lista de Identificação da Conta na Parte B
WECF_027            Lista de Lançamentos sem Reflexos na Parte A
WCHPRE77            Informação do Representante Vinculado ao Cheque
WECF_032            Lista de CFOPs para Apuração do Bloco Y
WECFX280            Atividades Incentivadas - PJ em Geral
WECFX300            Operações com o Exterior - Exportações (Entradas de Divisas)
WECFX310            Operações com o Exterior - Contratantes das Exportações
WECFX320            Operações com o Exterior - Importações (Saída de Divisas)
WECFX330            Operações com o Exterior - Contratantes das Importações
WECFX340            Identificação da Participação no Exterior
WECFX430            Rendimentos Relativos a Serviços, Juros e Dividendos Recebidos do Brasil e do Exterior
WES03015            Controle de Estoque de Terceiros
WECFY580            Doações a Campanhas Eleitorais
WECFY600            Identificação de Sócios ou Titular
WECFY660            Dados de Sucessoras
WCIDAD3             Lista de Cidades
WECFY611            Rendimentos de Dirigentes, Conselheiros, Sócios ou Titular
WECFCONF            Configurações das Tabelas do ECF
WECFTABELA          Lista da Tabela Dinâmica do ECF
WRQLIFIL            Filtros do Relatório de Impressão de RNC
WRQSELE             Seleção de Relatório de Registro de Não Conformidade
WECFY570            Demonstrativo do Imposto de Renda e CSLL Retidos na Fonte
WPEDID77            Observação Pedido de Venda
WECFY560            Detalhamento das Exportações da Comercial Exportadora
WDEPO2              Lista de Depósitos
WNUSEUTI            Lista de Números de Série Utilizados
WCLIPRO30           Lista de Cliente x Material
WECFPLANOC          Configuraçõe das Tabelas do ECF
WRELCUSTOS          Filtro de Relatório de Composição de Custos dos Lançamentos Contábeis
WRELLALUR           Filtro de Relatório do Lalur / Lacs dos Lançamentos Contábeis
WQLACAOIME          Lista de Ações Imediatas
WQLAZAOIM           Zoom de Ação Imediatas
WZPRORIMER          Zoom das Origens de Mercadorias do Produto
WREQUIET            Requisição / Devolução por Etiqueta
WQLRNCDOC           Documentos Anexados ao Registro de Não Conformidade
WGRSCONF            Conferência da GIA/RS
WIRPJAPU            Apuração do IRPJ/CSLL
WTITBEXC            Exclusão de Títulos em Cobrança Eletrônica
WZUNIMED            Zoom da Unidade de Medida
WPSET001            Setores / Ambientes do Pedido de Venda Otimizado
WPSET002            Definição de Tipo de Alteração de Setor / Ambiente
WPSET003            Definição de Tipo de Exclusão de Setor / Ambiente
WES05062            Lista de Solicitações de Produção Avulsas
WSOLAVULZ           Zoom de Solicitação de Produção Avulsa
WABRMAC             Lista de Macro Região de Vendas
WMARCREG            Marcação de Macro Regiões
WZABRMAC            Zoom Região de Vendas Macro
WRINDP01            Filtros Relatório de OF's de Industrialização
WENQIPI             Lista de Enquadramento do IPI
WZENQIPI            Zoom do Enquadramento do IPI
WORDEM13            Lista de Ordens de Produção
WORCESP             Orçamentos Especiais - Vários Produtos
WGRUSURE            Lista de Grupos / Subgrupos para Controle de Sucatas e Retalhos
WZESTSURE           Zoom de Configuração de Sucata / Retalho na Estrutura
WZPROSURE           Zoom da Configuração de Produto Sucata / Retalho
WZVESTSUR           Zoom de Configuração de Sucata / Retalho na Versão de Estrutura
WFCI019             Novo Código de Origem
WFCI008             Geração do Arquivo FCI
WFCI010             Filtros para Importar Retorno do FCI
WFCI014             Lista de Protocolos do FCI
WES05063            Relatório Código de Barras
WVERES01            Observação de Versão de Estrutura
WPRJCH01            Informações de Volumes
WFERRADOPROD        Ferramentas do Produto
